Point,AFTBF,AFTDIA,*FWDBF,*FWDDIA,JCDIA1
1,0.0000,0.0000,0.0000,0.0000,0.0000
2,0.0000,-0.0002,0.0000,0.0000,0.0001
3,-0.0001,-0.0003,0.0000,0.0000,0.0003
4,-0.0001,-0.0005,0.0000,0.0001,0.0004
5,-0.0001,-0.0006,0.0000,0.0001,0.0006
6,-0.0001,-0.0008,0.0000,0.0001,0.0007
7,-0.0002,-0.0009,0.0000,0.0001,0.0009
8,-0.0002,-0.0011,0.0000,0.0001,0.0011
9,-0.0002,-0.0012,0.0000,0.0002,0.0012
10,-0.0003,-0.0014,0.0000,0.0002,0.0014
11,-0.0003,-0.0016,0.0000,0.0002,0.0015
12,-0.0003,-0.0017,0.0000,0.0002,0.0017
13,-0.0003,-0.0019,0.0000,0.0002,0.0018
14,-0.0004,-0.0021,0.0000,0.0002,0.0020
15,-0.0004,-0.0022,0.0000,0.0003,0.0021
16,-0.0004,-0.0024,0.0001,0.0003,0.0023
17,-0.0004,-0.0026,0.0001,0.0003,0.0025
18,-0.0005,-0.0027,0.0001,0.0003,0.0026
19,-0.0005,-0.0029,0.0001,0.0003,0.0028
20,-0.0005,-0.0031,0.0001,0.0003,0.0029
21,-0.0006,-0.0032,0.0001,0.0004,0.0031
22,-0.0006,-0.0034,0.0001,0.0004,0.0032
23,-0.0006,-0.0036,0.0001,0.0004,0.0033
24,-0.0006,-0.0037,0.0001,0.0004,0.0035
25,-0.0007,-0.0039,0.0001,0.0004,0.0036
26,-0.0007,-0.0041,0.0001,0.0004,0.0037
27,-0.0007,-0.0043,0.0001,0.0005,0.0039
28,-0.0008,-0.0044,0.0001,0.0005,0.0040
29,-0.0008,-0.0046,0.0001,0.0005,0.0041
30,-0.0008,-0.0048,0.0001,0.0005,0.0042
31,-0.0008,-0.0050,0.0001,0.0006,0.0043
32,-0.0009,-0.0052,0.0001,0.0006,0.0044
33,-0.0009,-0.0053,0.0001,0.0006,0.0045
34,-0.0009,-0.0055,0.0001,0.0006,0.0046
35,-0.0009,-0.0057,0.0001,0.0007,0.0047
36,-0.0010,-0.0059,0.0001,0.0007,0.0048
37,-0.0010,-0.0061,0.0001,0.0008,0.0049
38,-0.0010,-0.0063,0.0001,0.0008,0.0050
39,-0.0010,-0.0065,0.0001,0.0008,0.0050
40,-0.0011,-0.0067,0.0001,0.0009,0.0051
41,-0.0011,-0.0068,0.0001,0.0009,0.0052
42,-0.0011,-0.0070,0.0002,0.0009,0.0053
43,-0.0012,-0.0072,0.0002,0.0010,0.0053
44,-0.0012,-0.0074,0.0002,0.0010,0.0054
45,-0.0012,-0.0076,0.0002,0.0011,0.0054
46,-0.0012,-0.0078,0.0002,0.0011,0.0055
47,-0.0013,-0.0080,0.0002,0.0012,0.0055
48,-0.0013,-0.0082,0.0002,0.0012,0.0056
49,-0.0013,-0.0084,0.0002,0.0012,0.0056
50,-0.0013,-0.0086,0.0002,0.0013,0.0057
51,-0.0014,-0.0087,0.0002,0.0013,0.0057
52,-0.0014,-0.0089,0.0002,0.0014,0.0058
53,-0.0014,-0.0091,0.0002,0.0014,0.0058
54,-0.0014,-0.0093,0.0002,0.0014,0.0059
55,-0.0015,-0.0095,0.0002,0.0015,0.0059
56,-0.0015,-0.0097,0.0002,0.0015,0.0060
57,-0.0015,-0.0098,0.0002,0.0015,0.0060
58,-0.0015,-0.0100,0.0002,0.0016,0.0061
59,-0.0016,-0.0102,0.0002,0.0016,0.0061
