Point,AFTDIA,AFTBF,*FWDDIA,*FWDBF
1,0.0000,0.0000,0.0000,0.0000
2,0.0000,0.0000,0.0000,0.0000
3,0.0000,0.0000,0.0001,0.0000
4,0.0000,0.0000,0.0001,0.0000
5,0.0000,0.0000,0.0001,0.0000
6,0.0001,0.0000,0.0002,0.0000
7,0.0001,0.0000,0.0002,0.0000
8,0.0001,0.0000,0.0002,0.0000
9,0.0001,0.0000,0.0003,0.0000
10,0.0001,0.0000,0.0003,0.0000
11,0.0001,0.0000,0.0003,0.0000
12,0.0001,0.0000,0.0003,0.0000
13,0.0001,0.0000,0.0004,0.0000
14,0.0001,0.0000,0.0004,0.0000
15,0.0001,0.0000,0.0004,0.0000
16,0.0001,0.0000,0.0004,0.0000
17,0.0001,0.0000,0.0005,0.0000
18,0.0001,0.0000,0.0005,0.0000
19,0.0001,0.0000,0.0005,0.0000
20,0.0001,0.0000,0.0006,0.0000
21,0.0001,0.0000,0.0006,0.0000
22,0.0001,0.0000,0.0006,-0.0001
23,0.0001,0.0000,0.0006,-0.0001
24,0.0001,0.0000,0.0007,-0.0001
25,0.0001,0.0000,0.0007,-0.0001
26,0.0001,0.0000,0.0007,-0.0001
27,0.0001,0.0000,0.0008,-0.0001
28,0.0001,0.0000,0.0008,-0.0001
29,0.0001,0.0000,0.0008,-0.0001
30,0.0001,0.0000,0.0009,-0.0001
31,0.0001,0.0000,0.0009,-0.0001
32,0.0001,0.0000,0.0009,-0.0001
33,0.0001,0.0000,0.0009,-0.0001
34,0.0001,0.0000,0.0010,-0.0001
35,0.0001,0.0000,0.0010,-0.0001
36,0.0001,0.0000,0.0010,-0.0001
37,0.0001,0.0000,0.0011,-0.0001
38,0.0001,0.0000,0.0011,-0.0001
39,0.0001,0.0000,0.0011,-0.0001
40,0.0001,0.0000,0.0012,-0.0001
41,0.0001,0.0000,0.0012,-0.0001
42,0.0001,0.0000,0.0013,-0.0001
43,0.0001,0.0000,0.0013,-0.0002
44,0.0001,0.0000,0.0013,-0.0002
45,0.0001,0.0000,0.0014,-0.0002
46,0.0001,0.0000,0.0014,-0.0002
47,0.0001,0.0000,0.0014,-0.0002
48,0.0001,0.0000,0.0015,-0.0002
49,0.0001,0.0000,0.0015,-0.0002
50,0.0002,0.0000,0.0015,-0.0002
51,0.0002,0.0000,0.0016,-0.0002
52,0.0002,0.0000,0.0016,-0.0002
53,0.0002,0.0000,0.0016,-0.0002
54,0.0002,0.0000,0.0017,-0.0002
55,0.0003,0.0000,0.0017,-0.0002
56,0.0003,0.0000,0.0017,-0.0002
57,0.0003,0.0000,0.0018,-0.0002
58,0.0003,0.0000,0.0018,-0.0002
59,0.0004,0.0000,0.0018,-0.0002
60,0.0004,-0.0001,0.0019,-0.0002
61,0.0004,-0.0001,0.0019,-0.0002
62,0.0004,-0.0001,0.0019,-0.0002
63,0.0004,-0.0001,0.0020,-0.0002
64,0.0005,-0.0001,0.0020,-0.0002
65,0.0005,-0.0001,0.0021,-0.0002
66,0.0005,-0.0001,0.0021,-0.0002
67,0.0005,-0.0001,0.0021,-0.0002
68,0.0006,-0.0001,0.0022,-0.0002
69,0.0006,-0.0001,0.0022,-0.0002
70,0.0006,-0.0001,0.0022,-0.0002
71,0.0006,-0.0001,0.0023,-0.0002
72,0.0006,-0.0001,0.0023,-0.0002
73,0.0006,-0.0001,0.0023,-0.0002
74,0.0007,-0.0001,0.0024,-0.0002
75,0.0007,-0.0001,0.0024,-0.0002
76,0.0007,-0.0001,0.0024,-0.0002
77,0.0007,-0.0001,0.0025,-0.0003
78,0.0007,-0.0001,0.0025,-0.0003
79,0.0007,-0.0001,0.0025,-0.0003
80,0.0007,-0.0001,0.0026,-0.0003
81,0.0007,-0.0001,0.0026,-0.0003
82,0.0007,-0.0001,0.0026,-0.0003
83,0.0007,-0.0001,0.0026,-0.0003
84,0.0008,-0.0001,0.0027,-0.0003
85,0.0008,-0.0001,0.0027,-0.0003
86,0.0008,-0.0001,0.0027,-0.0003
87,0.0008,-0.0001,0.0027,-0.0003
88,0.0008,-0.0001,0.0027,-0.0003
89,0.0008,-0.0001,0.0028,-0.0003
90,0.0008,-0.0001,0.0028,-0.0003
91,0.0008,0.0000,0.0028,-0.0004
92,0.0008,0.0000,0.0028,-0.0004
93,0.0008,0.0000,0.0028,-0.0004
94,0.0008,0.0000,0.0029,-0.0004
95,0.0008,0.0000,0.0029,-0.0004
96,0.0008,0.0000,0.0029,-0.0004
97,0.0008,0.0000,0.0029,-0.0004
98,0.0008,0.0000,0.0030,-0.0004
99,0.0009,0.0000,0.0030,-0.0004
100,0.0009,0.0000,0.0030,-0.0004
101,0.0009,0.0000,0.0030,-0.0004
102,0.0009,0.0000,0.0031,-0.0004
103,0.0009,0.0000,0.0031,-0.0004
104,0.0009,0.0000,0.0031,-0.0004
105,0.0009,0.0000,0.0031,-0.0004
106,0.0009,0.0000,0.0032,-0.0004
107,0.0009,0.0000,0.0032,-0.0004
108,0.0009,0.0000,0.0032,-0.0004
109,0.0010,0.0000,0.0033,-0.0005
110,0.0010,0.0000,0.0033,-0.0005
111,0.0010,0.0000,0.0033,-0.0005
112,0.0010,0.0000,0.0034,-0.0005
113,0.0010,0.0000,0.0034,-0.0005
114,0.0010,0.0000,0.0034,-0.0005
115,0.0011,0.0000,0.0035,-0.0005
116,0.0011,0.0000,0.0035,-0.0005
117,0.0011,0.0000,0.0035,-0.0005
118,0.0011,0.0000,0.0036,-0.0005
119,0.0011,0.0000,0.0036,-0.0005
120,0.0012,0.0000,0.0036,-0.0005
121,0.0012,0.0000,0.0037,-0.0005
122,0.0012,0.0000,0.0037,-0.0005
123,0.0012,0.0000,0.0037,-0.0005
124,0.0013,0.0000,0.0038,-0.0005
125,0.0013,0.0000,0.0038,-0.0006
126,0.0013,0.0000,0.0038,-0.0006
127,0.0014,0.0000,0.0039,-0.0006
128,0.0014,0.0000,0.0039,-0.0006
129,0.0014,0.0000,0.0039,-0.0006
130,0.0015,0.0000,0.0040,-0.0006
131,0.0015,0.0000,0.0040,-0.0006
132,0.0015,0.0000,0.0040,-0.0006
133,0.0016,0.0000,0.0041,-0.0006
134,0.0016,0.0000,0.0041,-0.0006
135,0.0016,0.0000,0.0041,-0.0006
136,0.0016,0.0000,0.0041,-0.0006
137,0.0017,0.0000,0.0042,-0.0006
138,0.0017,0.0000,0.0042,-0.0007
139,0.0017,0.0000,0.0042,-0.0007
140,0.0018,0.0000,0.0043,-0.0007
141,0.0018,0.0000,0.0043,-0.0007
142,0.0018,0.0000,0.0043,-0.0007
143,0.0018,0.0000,0.0044,-0.0007
144,0.0019,0.0000,0.0044,-0.0007
145,0.0019,0.0000,0.0044,-0.0007
146,0.0019,0.0000,0.0045,-0.0007
147,0.0019,0.0000,0.0045,-0.0007
148,0.0019,0.0000,0.0045,-0.0007
149,0.0020,0.0000,0.0046,-0.0008
150,0.0020,0.0000,0.0046,-0.0008
151,0.0020,0.0000,0.0046,-0.0008
152,0.0020,0.0000,0.0047,-0.0008
153,0.0020,0.0000,0.0047,-0.0008
154,0.0021,0.0000,0.0047,-0.0008
155,0.0021,0.0000,0.0048,-0.0008
156,0.0021,0.0000,0.0048,-0.0008
157,0.0021,0.0000,0.0048,-0.0008
158,0.0022,0.0000,0.0048,-0.0008
159,0.0022,0.0000,0.0049,-0.0008
160,0.0022,0.0000,0.0049,-0.0008
161,0.0022,0.0000,0.0049,-0.0008
162,0.0023,0.0000,0.0050,-0.0008
163,0.0023,0.0000,0.0050,-0.0008
164,0.0023,0.0000,0.0050,-0.0009
165,0.0024,0.0000,0.0050,-0.0009
166,0.0024,0.0000,0.0051,-0.0009
167,0.0024,0.0000,0.0051,-0.0009
168,0.0025,0.0000,0.0051,-0.0009
169,0.0025,0.0000,0.0051,-0.0009
170,0.0025,0.0000,0.0052,-0.0009
171,0.0026,0.0000,0.0052,-0.0009
172,0.0026,0.0000,0.0052,-0.0009
173,0.0026,0.0000,0.0052,-0.0009
174,0.0027,0.0000,0.0053,-0.0009
175,0.0027,0.0000,0.0053,-0.0009
176,0.0027,0.0000,0.0053,-0.0009
177,0.0028,0.0000,0.0054,-0.0009
178,0.0028,0.0000,0.0054,-0.0009
